source: wordCount:3, stream: default, id: {}, [adventure, 3]
source: wordCount:4, stream: default, id: {}, [have, 1]
source: wordCount:4, stream: default, id: {}, [the, 11]
source: wordCount:3, stream: default, id: {}, [was, 1]
source: wordCount:3, stream: default, id: {}, [her, 1]
source: wordCount:4, stream: default, id: {}, [of, 4]
source: wordCount:4, stream: default, id: {}, [adventure, 4]
source: wordCount:3, stream: default, id: {}, [he, 1]
source: wordCount:3, stream: default, id: {}, [not, 1]
source: wordCount:3, stream: default, id: {}, [one, 1]
source: wordCount:3, stream: default, id: {}, [mention, 1]
source: wordCount:3, stream: default, id: {}, [copper, 1]
source: wordCount:4, stream: default, id: {}, [beryl, 1]
source: wordCount:3, stream: default, id: {}, [him, 1]
source: wordCount:4, stream: default, id: {}, [xii, 1]
source: wordCount:4, stream: default, id: {}, [heard, 1]
source: wordCount:4, stream: default, id: {}, [the, 12]
source: wordCount:3, stream: default, id: {}, [abhorrent, 1]
source: wordCount:3, stream: default, id: {}, [to, 2]
source: wordCount:4, stream: default, id: {}, [whole, 1]
source: wordCount:3, stream: default, id: {}, [any, 1]
source: wordCount:4, stream: default, id: {}, [of, 5]
source: wordCount:3, stream: default, id: {}, [precise, 1]
source: wordCount:4, stream: default, id: {}, [the, 13]
source: wordCount:3, stream: default, id: {}, [other, 1]
source: wordCount:4, stream: default, id: {}, [sex, 1]
source: wordCount:3, stream: default, id: {}, [but, 1]
source: wordCount:3, stream: default, id: {}, [his, 1]
source: wordCount:4, stream: default, id: {}, [it, 3]
source: wordCount:3, stream: default, id: {}, [eyes, 1]
source: wordCount:4, stream: default, id: {}, [that, 1]
source: wordCount:4, stream: default, id: {}, [beeches, 1]
source: wordCount:3, stream: default, id: {}, [balanced, 1]
source: wordCount:3, stream: default, id: {}, [was, 2]
source: wordCount:4, stream: default, id: {}, [felt, 1]
source: wordCount:3, stream: default, id: {}, [any, 2]
source: wordCount:4, stream: default, id: {}, [particularly, 1]
source: wordCount:3, stream: default, id: {}, [take, 1]
source: wordCount:4, stream: default, id: {}, [were, 1]
source: wordCount:3, stream: default, id: {}, [akin, 1]
source: wordCount:4, stream: default, id: {}, [her, 1]
source: wordCount:4, stream: default, id: {}, [under, 1]
source: wordCount:4, stream: default, id: {}, [his, 1]
source: wordCount:3, stream: default, id: {}, [it, 2]
source: wordCount:3, stream: default, id: {}, [love, 1]
source: wordCount:4, stream: default, id: {}, [cold, 1]
source: wordCount:3, stream: default, id: {}, [perfect, 1]
source: wordCount:4, stream: default, id: {}, [name, 1]
source: wordCount:4, stream: default, id: {}, [in, 2]
source: wordCount:3, stream: default, id: {}, [gutenberg, 3]
source: wordCount:3, stream: default, id: {}, [for, 1]
source: wordCount:4, stream: default, id: {}, [admirably, 1]
source: wordCount:3, stream: default, id: {}, [s, 2]
source: wordCount:4, stream: default, id: {}, [mind, 1]
source: wordCount:3, stream: default, id: {}, [adventures, 4]
source: wordCount:4, stream: default, id: {}, [he, 1]
source: wordCount:3, stream: default, id: {}, [all, 1]
source: wordCount:3, stream: default, id: {}, [sherlock, 3]
source: wordCount:4, stream: default, id: {}, [she, 1]
source: wordCount:4, stream: default, id: {}, [eclipses, 1]
source: wordCount:3, stream: default, id: {}, [and, 2]
source: wordCount:4, stream: default, id: {}, [i, 3]
source: wordCount:3, stream: default, id: {}, [arthur, 3]
source: wordCount:4, stream: default, id: {}, [emotion, 1]
source: wordCount:3, stream: default, id: {}, [conan, 4]
source: wordCount:3, stream: default, id: {}, [reasoning, 1]
source: wordCount:4, stream: default, id: {}, [the, 14]
source: wordCount:3, stream: default, id: {}, [of, 11]
source: wordCount:4, stream: default, id: {}, [to, 1]
source: wordCount:4, stream: default, id: {}, [most, 1]
source: wordCount:3, stream: default, id: {}, [and, 3]
source: wordCount:3, stream: default, id: {}, [the, 14]
source: wordCount:4, stream: default, id: {}, [project, 3]
source: wordCount:3, stream: default, id: {}, [machine, 1]
source: wordCount:4, stream: default, id: {}, [irene, 1]
source: wordCount:4, stream: default, id: {}, [the, 15]
source: wordCount:3, stream: default, id: {}, [passions, 1]
source: wordCount:4, stream: default, id: {}, [adler, 1]
source: wordCount:4, stream: default, id: {}, [of, 6]
source: wordCount:3, stream: default, id: {}, [the, 15]
source: wordCount:4, stream: default, id: {}, [emotions, 1]
source: wordCount:3, stream: default, id: {}, [with, 4]
source: wordCount:4, stream: default, id: {}, [holmes, 5]
source: wordCount:3, stream: default, id: {}, [gibe, 1]
source: wordCount:4, stream: default, id: {}, [by, 2]
source: wordCount:4, stream: default, id: {}, [that, 2]
source: wordCount:3, stream: default, id: {}, [seen, 1]
source: wordCount:4, stream: default, id: {}, [doyle, 4]
source: wordCount:3, stream: default, id: {}, [a, 2]
source: wordCount:4, stream: default, id: {}, [spoke, 1]
source: wordCount:4, stream: default, id: {}, [observing, 1]
source: wordCount:3, stream: default, id: {}, [but, 2]
source: wordCount:4, stream: default, id: {}, [softer, 1]
source: wordCount:3, stream: default, id: {}, [they, 1]
source: wordCount:3, stream: default, id: {}, [lover, 1]
source: wordCount:4, stream: default, id: {}, [save, 1]
source: wordCount:4, stream: default, id: {}, [that, 3]
source: wordCount:3, stream: default, id: {}, [would, 1]
source: wordCount:4, stream: default, id: {}, [world, 1]
